stock,date,time,heading,compound score
TSLA,3/15/21,10:00AM  ,"Elon Musk Named ""Technoking"" of Tesla",0
TSLA,3/15/21,09:51AM  ,Elon Musk is now officially Technoking of Tesla,0
TSLA,3/15/21,09:07AM  ,US STOCKS-Wall Street set for muted open after strong comeback,0.5106
TSLA,3/15/21,08:51AM  ,"Elon Musk adds 'Technoking of Tesla' title, CFO takes 'Master of Coin' title: filing",0
TSLA,3/15/21,08:15AM  ,"Elon Musk Anointed 'Technoking of Tesla,' CFO Zach Kirkhorn Named 'Master Of Coin'",0
TSLA,3/15/21,08:01AM  ,"Dow Jones Futures: Market Rally Expands, Bitcoin Falls On Crypto Ban Fears; NXP Semi Leads Four Stocks Set To Jump",-0.7184
TSLA,3/15/21,07:27AM  ,Tesla names Musk 'Technoking' in cryptic regulatory filing,0
TSLA,3/15/21,07:23AM  ,Tesla names Musk 'Technoking' in cryptic regulatory filing,0
TSLA,3/15/21,05:40AM  ,Tesla Prepares For Shanghai Gigafactory Expansion,0
TSLA,3/15/21,03:46AM  ,Tesla Revokes FSD Beta Access For Driver Who Don't Pay 'Sufficient Attention To The Road',0.0762
TSLA,3/15/21,03:17AM  ,"Yellen on Inflation, Astra Pushes Back, and TechnoKing Musk;  What's up in Markets",0
TSLA,3/15/21,03:15AM  ,Elon Musk Officially Is Now the 'Technoking' of Tesla,0
TSLA,3/15/21,01:26AM  ,Tesla Fremont Factory Recorded 450 COVID-19 Cases After Controversial Reopening In May: Report,-0.2023
TSLA,3/14/21,10:36PM  ,Elon Musk's Weekend Dogemania: Calls On Coinbase To Support Dogecoin And Sends Wrong Crypto Soaring Again,-0.1027
TSLA,3/14/21,08:00PM  ,Musk to become technoking of Tesla,0
TSLA,3/14/21,08:00PM  ,Elon Musk now identifies as Technoking of Tesla,0
TSLA,3/14/21,05:21PM  ,Tesla factory had more than 400 COVID-19 cases after Elon Musks defiant reopening: report,-0.2263
TSLA,3/14/21,01:00PM  ,GM Is Betting Big On Electric Vehicles,0
TSLA,3/14/21,08:10AM  ,Is GM Stock A Buy? General Motors Makes Bullish Move As Tesla Struggles,-0.3612
TSLA,3/14/21,07:07AM  ,What Apple Investors Should Be Watching,0
TSLA,3/14/21,06:45AM  ,These 3 Tech Stocks Are Building the Future,0
TSLA,3/14/21,04:00AM  ,Outgoing CEO says Panasonic must cut Tesla reliance as battery tie-up evolves: FT,0.0258
TSLA,3/14/21,03:48AM  ,Outgoing CEO says Panasonic must cut Tesla reliance as battery tie-up evolves - Financial Times,0.0258
TSLA,3/14/21,03:42AM  ,Outgoing CEO says Panasonic must cut Tesla reliance as battery tie-up evolves -FT,0.0258
TSLA,3/14/21,01:49AM  ,Economic Calendar - Top 5 Things to Watch This Week,0.2023
TSLA,3/13/21,07:01PM  ,The King of Nickel Is Betting Big on a Green Future in Batteries,0
TSLA,3/13/21,07:00PM  ,Panasonic to reduce Tesla reliance as battery tie-up evolves,0
TSLA,3/13/21,02:49PM  ,US Transportation Regulator Singles Out Tesla In Calling For Tighter Autonomous Driving Rules,0
TSLA,3/13/21,12:00PM  ,3 Major Technology Advantages That Lucid Motors Has Over Tesla,0.3612
TSLA,3/13/21,10:19AM  ,"Investor Sues Elon Musk, Tesla Board Over 'Erratic' Tweeting, Alleging Violation Of SEC Settlement",-0.4939
TSLA,3/13/21,10:00AM  ,"Benzinga's Bulls And Bears Of The Week: Apple, Lemonade, Sundial, Tesla And More",0
TSLA,3/13/21,08:00AM  ,Tesla Accepts Payment in Bitcoin: Should Landlords Do the Same?,0.3182
TSLA,3/13/21,07:00AM  ,"One Bank Made Big Bets on Apple, Tesla, Nio, and Other EV Stocks",0
TSLA,3/12/21,05:45PM  ,Tesla (TSLA) Stock Sinks As Market Gains: What You Should Know,0.34
TSLA,3/12/21,04:25PM  ,Tesla Expanding Insurance On Its Cars To Illinois,0
