,0,1,2,3,4,5,6
0,Date,Open,High,Low,Close,Adj Close,Volume
593,2018-11-07,64.108788,64.108788,63.138077,63.707111,63.153725,1666906
594,2018-11-08,63.690376,65.096237,63.447701,64.343094,63.784191,2074281
595,2018-11-09,63.991631,64.158997,62.644352,62.945606,62.398842,1755097
596,2018-11-12,62.920502,63.246861,62.430962,62.728031,62.183155,1820463
597,2018-11-13,62.669456,64.368202,62.669456,62.937237,62.390541,2429913
598,2018-11-14,63.071129,63.489540,61.414227,61.589958,61.054966,2794269
599,2018-11-15,61.238495,63.439331,60.870293,63.372383,62.821911,2801558
600,2018-11-16,62.979080,63.916317,62.866108,63.138077,62.589638,2292966
601,2018-11-19,63.188286,63.238495,61.439331,61.723850,61.187695,1650893
602,2018-11-20,61.146442,61.564854,60.502090,60.744770,60.217113,1674076
603,2018-11-21,61.205021,62.184101,60.979080,61.807529,61.270645,1647786
604,2018-11-23,61.188286,61.531380,60.870293,60.920502,60.391319,1083985
605,2018-11-26,61.481171,61.924686,60.543934,61.255230,60.723141,2409359
606,2018-11-27,60.870293,61.882847,60.167362,61.723850,61.187695,2325112
607,2018-11-28,61.924686,62.778244,60.803349,62.753139,62.208042,2118138
608,2018-11-29,62.627617,62.774059,61.439331,62.033474,61.552090,2366220
609,2018-11-30,61.907951,63.974895,61.782429,63.656902,63.162922,3609020
610,2018-12-03,64.510460,64.870293,63.205021,63.564854,63.071583,2463254
611,2018-12-04,63.556484,63.698746,60.828453,60.962341,60.489269,3955211
612,2018-12-06,60.016735,60.502090,58.953976,60.368202,59.899734,3561817
613,2018-12-07,60.393307,60.878662,58.209206,58.527199,58.073017,2783992
614,2018-12-10,58.343098,59.414227,57.916317,59.179916,58.720669,2442819
615,2018-12-11,60.050209,60.317993,58.343098,58.627617,58.172661,1553142
616,2018-12-12,59.556484,60.502090,59.179916,59.221756,58.762192,1670969
617,2018-12-13,59.389122,59.581589,58.368202,58.535564,58.081322,1882364
618,2018-12-14,58.066944,58.602509,57.372383,57.623432,57.176262,1830621
619,2018-12-17,57.221756,57.849373,56.443516,56.861923,56.420673,3788389
620,2018-12-18,57.531380,57.531380,56.334728,56.987450,56.545216,2989890
621,2018-12-19,56.903767,57.723850,55.405857,55.715481,55.283119,2379126
622,2018-12-20,55.188286,55.723850,53.305439,54.527199,54.104061,3531345
623,2018-12-21,54.527199,55.748955,53.974895,54.811714,54.386368,7207523
624,2018-12-24,54.251045,54.359833,52.694561,53.255230,52.841965,1825721
625,2018-12-26,53.422592,55.029289,52.627617,54.979080,54.552441,1881886
626,2018-12-27,54.309624,55.974895,53.857742,55.974895,55.540524,1539638
627,2018-12-28,56.225941,56.468620,55.062763,55.815899,55.382763,1733228
628,2018-12-31,55.991631,56.661087,55.882847,56.619247,56.179874,1460290
629,2019-01-02,55.748955,56.443516,55.497910,56.359833,55.922470,1387634
630,2019-01-03,55.430962,55.589958,53.882847,54.083683,53.663986,2302526
631,2019-01-04,55.012550,56.460251,54.778244,56.451881,56.013813,1974021
632,2019-01-07,56.359833,57.096233,56.263599,56.736401,56.296120,1859898
633,2019-01-08,57.464436,57.531380,56.292889,56.995815,56.553524,1818432
634,2019-01-09,56.995815,58.117153,56.970711,57.933056,57.483494,1673717
635,2019-01-10,57.531380,58.560669,57.338913,58.476986,58.023193,1438422
636,2019-01-11,57.933056,58.217571,57.631798,58.167362,57.715969,1317727
637,2019-01-14,57.824268,58.485355,57.757320,58.267780,57.815617,1343061
638,2019-01-15,58.343098,58.577408,57.740585,58.569038,58.114532,1464592
639,2019-01-16,58.468620,58.970711,58.334728,58.594143,58.139450,1358715
640,2019-01-17,58.292889,59.874477,58.292889,59.732220,59.268692,1376282
641,2019-01-18,60.083683,61.280334,60.083683,61.112972,60.638729,2164982
642,2019-01-22,60.619247,60.619247,59.577408,59.974895,59.509476,1428025
643,2019-01-23,60.217571,60.786610,59.129707,59.531380,59.069408,1250329
644,2019-01-24,59.556484,59.924686,59.338913,59.405857,58.944862,1409144
645,2019-01-25,60.066944,60.535564,59.807529,60.460251,59.991070,1749719
646,2019-01-28,59.589958,60.175732,59.221756,60.158997,59.692158,1004876
