,Unnamed: 0,As of Date: 1/30/2021Current,9/30/2020,6/30/2020,3/31/2020,12/31/2019
0,Market Cap (intraday) 5,15.43B,13.90B,10.53B,6.74B,27.88B
1,Enterprise Value 3,31.95B,29.25B,23.35B,18.23B,39.00B
2,Trailing P/E,57.31,,59.18,3.59,14.58
3,Forward P/E 1,,,,4.55,12.61
4,PEG Ratio (5 yr expected) 1,,,,1.55,1.20
5,Price/Sales (ttm),2.92,1.71,1.00,0.62,2.61
6,Price/Book (mrq),1.85,1.55,1.03,0.55,2.33
7,Enterprise Value/Revenue 3,6.81,-868.32,132.99,8.97,15.49
8,Enterprise Value/EBITDA 6,-14.66,-38.35,-21.36,-17.87,55.95
