,Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018
0,Operating Cash Flow,950700,1020300,852500,699800
1,Investing Cash Flow,316500,505900,395400,459100
2,Financing Cash Flow,313500,451600,478500,508200
3,End Cash Position,815000,503400,452000,493900
4,Capital Expenditure,324900,345200,379500,358100
5,Issuance of Debt,168000,1639800,0,701600
6,Repayment of Debt,79300,1725400,162100,970500
7,Repurchase of Capital Stock,382400,345100,325200,259100
8,Free Cash Flow,625800,675100,473000,341700
