,Unnamed: 0,As of Date: 2/13/2021Current,9/30/2020,6/30/2020,3/31/2020,12/31/2019
0,Market Cap (intraday) 5,35.91B,34.09B,34.35B,32.99B,44.23B
1,Enterprise Value 3,60.98B,58.30B,62.38B,60.96B,72.59B
2,Trailing P/E,19.18,16.30,17.63,18.83,17.99
3,Forward P/E 1,15.46,14.81,16.23,15.85,20.70
4,PEG Ratio (5 yr expected) 1,2.76,2.64,3.75,3.66,2.06
5,Price/Sales (ttm),3.26,3.12,3.11,2.94,3.45
6,Price/Book (mrq),1.79,1.67,1.92,1.65,2.70
7,Enterprise Value/Revenue 3,5.47,22.05,24.69,20.13,24.67
8,Enterprise Value/EBITDA 6,14.20,66.03,54.29,55.98,61.83
