,stock,date,time,heading,compound score
49,SRE,2020-11-19,07:09AM  ,$2B Pacific LNG Export Project Advances,0.0
50,SRE,2020-11-19,06:55AM  ,Sempra Energy Named To Dow Jones Sustainability World Index For Third Consecutive Year,0.2732
51,SRE,2020-11-18,04:15PM  ,Sempra Energy Declares Common And Preferred Dividends,0.2732
52,SRE,2020-11-18,02:04PM  ,Venture Global delays Louisiana Plaquemines LNG export FID to 2021,0.0
53,SRE,2020-11-17,01:47PM  ,Charts Suggest That Utilities Sector Is Headed Higher,0.0
54,SRE,2020-11-17,12:42PM  ,"SoCalGas Supports LA Urban League's Virtual Construction Training with $50,000 Grant - Company Hiring Up to 100 Qualified Graduates",0.6124
55,SRE,2020-11-17,10:09AM  ,P/E Ratio Insights for Sempra Energy,0.2732
56,SRE,2020-11-17,06:30AM  ,Sempra Energy Announces FID For Landmark Energía Costa Azul LNG Export Project,0.34
57,SRE,2020-11-11,06:55AM  ,Sempra Energy Donates to Operation Homefront for Third Annual Veterans Day Grant,0.5574
58,SRE,2020-11-10,02:12PM  ,"SoCalGas Joins United Way of Greater LA for First-Ever Virtual HomeWalk, Encourages All Angelenos to Sign Up and Support the Walk to End Homelessness",0.872
59,SRE,2020-11-10,09:52AM  ,Were These Hedge Funds Right About Crowding Into Sempra Energy (SRE)?,0.2732
60,SRE,2020-11-09,07:53AM  ,"National Fuel Gas (NFG) Beats on Q4 Earnings, Ups 2021 View",0.0
61,SRE,2020-11-09,06:55AM  ,Sempra Energy And Salk Institute Announce Project To Advance Plant-Based Carbon Capture And Storage Research,0.2732
62,SRE,2020-11-06,07:02PM  ,"SoCalGas should be fined $255 million for fighting climate action, watchdog says",-0.3612
63,SRE,2020-11-06,10:55AM  ,"Consolidated Edison (ED) Q3 Earnings Miss, Revenues Down Y/Y",-0.1531
64,SRE,2020-11-06,09:35AM  ,"MDU Resources (MDU) Q3 Earnings Improve Y/Y, 2020 View Up",0.4404
