,Unnamed: 0,As of Date: 3/17/2021Current,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019
0,Market Cap (intraday) 5,29.63B,25.58B,18.78B,18.24B,14.10B,19.80B
1,Enterprise Value 3,,,,,,
2,Trailing P/E,29.27,26.24,20.58,20.62,15.82,23.03
3,Forward P/E 1,26.18,24.63,19.12,22.08,16.39,22.08
4,PEG Ratio (5 yr expected) 1,,,,,,
5,Price/Sales (ttm),7.63,6.91,5.36,5.35,4.29,6.24
6,Price/Book (mrq),2.90,2.64,1.99,1.98,1.62,2.33
7,Enterprise Value/Revenue 3,,,,,,
8,Enterprise Value/EBITDA 6,,,,,,
