,stock,date,time,heading,compound score
57,FRC,2020-10-25,08:13AM  ,"At More Than Double Book Value, Can First Republic Bank's Stock Keep Climbing?",0.34
58,FRC,2020-10-21,12:00PM  ,First Republic Bank (FRC) Is Up 2.47% in One Week: What You Should Know,0.0
59,FRC,2020-10-20,10:54AM  ,Is First Republic Bank (FRC) a Smart Long-term Buy?,0.4019
60,FRC,2020-10-19,09:25AM  ,Is Now The Time To Put First Republic Bank (NYSE:FRC) On Your Watchlist?,0.0
61,FRC,2020-10-16,05:20PM  ,Sequoia Mortgage Trust 2017-6 -- Moody's takes action on 12 Prime Jumbo RMBS issued by Sequoia Mortgage Trust,0.765
62,FRC,2020-10-13,07:01PM  ,First Republic Bank (FRC) Q3 2020 Earnings Call Transcript,0.0
63,FRC,2020-10-13,09:53AM  ,P/E Ratio Insights for First Republic Bank,0.0
64,FRC,2020-10-13,08:15AM  ,First Republic Bank (FRC) Q3 Earnings and Revenues Surpass Estimates,0.0
65,FRC,2020-10-13,08:00AM  ,"First Republic Bank (San Francisco, California) to Host Earnings Call",0.0
66,FRC,2020-10-13,07:22AM  ,First Republic Bank: Q3 Earnings Insights,0.0
67,FRC,2020-10-13,07:00AM  ,First Republic Reports Third Quarter 2020 Results,0.0
68,FRC,2020-10-12,12:03PM  ,Why First Republic Bank (FRC) Stock is a Compelling Investment Case,0.2263
69,FRC,2020-10-12,10:42AM  ,First Republic Bank's Earnings: A Preview,0.0
70,FRC,2020-10-09,07:28PM  ,"After Years of Anticipation, Apples iPhone Enters the 5G World",0.1027
71,FRC,2020-10-09,08:50AM  ,Will Higher Fee Income Aid First Republic (FRC) Q3 Earnings?,0.0
72,FRC,2020-10-06,12:30PM  ,First Republic Bank (FRC) Reports Next Week: Wall Street Expects Earnings Growth,0.3818
73,FRC,2020-10-05,09:00AM  ,First Republic Bank Declares Dividends on Series J and K Perpetual Preferred Stock,0.0
74,FRC,2020-09-29,09:00AM  ,First Republic Bank Announces Third Quarter 2020 Earnings and Conference Call Date,0.0
75,FRC,2020-09-14,09:00AM  ,Wealth Manager Brian Addington Joins First Republic,0.4939
76,FRC,2020-09-09,08:13PM  ,Hedge Funds Have Never Been This Bullish On First Republic Bank (FRC),0.0
77,FRC,2020-09-09,07:10PM  ,First Republic Bank Announces Pricing of $500 Million Series K Preferred Stock Offering,0.0
78,FRC,2020-09-09,08:55AM  ,First Republic Announces Series K Preferred Stock Offering,0.0
79,FRC,2020-09-09,08:40AM  ,First Republic Bank Issues Notice of Redemption of Series F Preferred Shares,0.296
80,FRC,2020-09-02,09:00AM  ,First Republic Bank Declares Dividends on Four Series of Perpetual Preferred Stock for Third Quarter 2020,0.0
81,FRC,2020-08-27,06:54PM  ,Moody's takes action on 12 Prime Jumbo RMBS issued by Sequoia Mortgage Trust,0.5106
82,FRC,2020-08-27,12:33PM  ,Analysts Say These 3 Stocks Are Their Top Picks for 2020 and Beyond,0.2023
83,FRC,2020-08-18,08:33AM  ,First Republic (FRC) Poised for Growth: Should You Hold?,0.5574
84,FRC,2020-08-13,11:30AM  ,First Republic Bank (FRC) Up 7.5% Since Last Earnings Report: Can It Continue?,0.0
85,FRC,2020-08-13,09:00AM  ,Wealth Management Team Led by Phil Scott Joins First Republic,0.4939
86,FRC,2020-08-03,09:00AM  ,Six Wealth Managers Join First Republic in New York,0.6597
87,FRC,2020-07-28,06:40PM  ,First Republic Announces FRC Founders Index FundSM,0.0
88,FRC,2020-07-26,04:03PM  ,First Republic Bank Is a Bank Stock You Should Know,0.0
89,FRC,2020-07-21,01:14PM  ,Update: First Republic Bank (NYSE:FRC) Stock Gained 78% In The Last Five Years,0.3818
90,FRC,2020-07-14,10:31PM  ,First Republic Bank (FRC) Q2 2020 Earnings Call Transcript,0.0
91,FRC,2020-07-14,10:32AM  ,Price Over Earnings Overview: First Republic Bank,0.0
92,FRC,2020-07-14,09:07AM  ,First Republic (FRC) Q2 Earnings Beat on Higher Revenues,0.0
93,FRC,2020-07-14,08:25AM  ,First Republic Bank (FRC) Q2 Earnings Surpass Estimates,0.0
94,FRC,2020-07-14,07:22AM  ,First Republic Bank: Q2 Earnings Insights,0.0
95,FRC,2020-07-14,07:00AM  ,First Republic Reports Second Quarter 2020 Results,0.0
96,FRC,2020-07-13,04:49PM  ,Big banks kick off earnings season on Tuesday  heres what to expect,0.0
97,FRC,2020-07-12,08:53PM  ,Did Hedge Funds Make The Right Call On First Republic Bank (FRC) ?,0.0
98,FRC,2020-07-12,04:53PM  ,"Earnings season kicks off with big banks, Netflix: What to know in the week ahead",0.0
99,FRC,2020-07-10,09:32AM  ,"Low Rates, Provisions to Mar First Republic (FRC) Q2 Earnings",-0.2732
