,Unnamed: 0,As of Date: 1/30/2021Current,9/30/2020,6/30/2020,3/31/2020,12/31/2019
0,Market Cap (intraday) 5,12.02B,13.09B,13.09B,10.90B,13.78B
1,Enterprise Value 3,15.88B,16.96B,16.91B,14.72B,17.68B
2,Trailing P/E,33.65,32.83,29.23,25.52,42.30
3,Forward P/E 1,18.62,19.49,20.45,16.18,19.68
4,PEG Ratio (5 yr expected) 1,4.17,4.15,4.22,2.73,2.58
5,Price/Sales (ttm),2.51,2.73,2.67,2.25,2.87
6,Price/Book (mrq),1.98,2.19,2.25,1.75,2.28
7,Enterprise Value/Revenue 3,3.11,13.38,14.11,10.92,13.77
8,Enterprise Value/EBITDA 6,17.17,75.84,78.73,55.28,80.35
