,Unnamed: 0,As of Date: 3/12/2021Current,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019
0,Market Cap (intraday) 5,41.18B,35.18B,24.76B,21.04B,12.55B,24.24B
1,Enterprise Value 3,42.86B,37.48B,27.40B,25.61B,16.92B,28.71B
2,Trailing P/E,22.90,19.95,14.06,8.59,12.79,24.48
3,Forward P/E 1,39.68,32.57,29.15,81.97,10.34,17.36
4,PEG Ratio (5 yr expected) 1,3.65,3.00,2.88,8.09,0.95,2.35
5,Price/Sales (ttm),3.16,2.77,1.91,1.43,0.88,1.71
6,Price/Book (mrq),5.21,4.78,3.57,4.23,3.29,6.80
7,Enterprise Value/Revenue 3,3.28,8.90,7.47,13.07,5.25,7.98
8,Enterprise Value/EBITDA 6,14.87,56.79,49.20,-192.56,9.41,58.95
